date,f
2020-11-24,0.159855
2020-11-25,0.16083121428571429
2020-11-26,0.16180742857142857
2020-11-27,0.16278364285714286
2020-11-28,0.16375985714285712
2020-11-29,0.1647360714285714
2020-11-30,0.1657122857142857
2020-12-01,0.1666885
2020-12-02,0.1659857857142857
2020-12-03,0.16528307142857143
2020-12-04,0.16458035714285715
2020-12-05,0.16387764285714285
2020-12-06,0.16317492857142857
2020-12-07,0.1624722142857143
2020-12-08,0.1617695
2020-12-09,0.16144807142857143
2020-12-10,0.16112664285714287
2020-12-11,0.1608052142857143
2020-12-12,0.1604837857142857
2020-12-13,0.16016235714285712
2020-12-14,0.15984092857142856
2020-12-15,0.15951949999999998
2020-12-16,0.1575062857142857
2020-12-17,0.1554930714285714
2020-12-18,0.15347985714285714
2020-12-19,0.15146664285714284
2020-12-20,0.14945342857142857
2020-12-21,0.14744021428571427
2020-12-22,0.145427
2020-12-23,0.13923014285714286
2020-12-24,0.13303328571428572
2020-12-25,0.12683642857142857
2020-12-26,0.12063957142857143
2020-12-27,0.11444271428571429
2020-12-28,0.10824585714285714
2020-12-29,0.102049
2020-12-30,0.09880002142857143
2020-12-31,0.09555104285714286
2021-01-01,0.09230206428571429
2021-01-02,0.08905308571428572
2021-01-03,0.08580410714285713
2021-01-04,0.08255512857142856
2021-01-05,0.07930614999999999
2021-01-06,0.08035047142857142
2021-01-07,0.08139479285714285
2021-01-08,0.08243911428571428
2021-01-09,0.08348343571428571
2021-01-10,0.08452775714285714
2021-01-11,0.08557207857142857
2021-01-12,0.0866164
2021-01-13,0.08585196428571429
2021-01-14,0.08508752857142857
2021-01-15,0.08432309285714286
2021-01-16,0.08355865714285714
2021-01-17,0.08279422142857143
2021-01-18,0.08202978571428571
2021-01-19,0.08126535
2021-01-20,0.07990352857142857
2021-01-21,0.07854170714285715
2021-01-22,0.07717988571428572
2021-01-23,0.07581806428571428
2021-01-24,0.07445624285714285
2021-01-25,0.07309442142857142
2021-01-26,0.0717326
2021-01-27,0.07157016428571428
2021-01-28,0.07140772857142857
2021-01-29,0.07124529285714286
2021-01-30,0.07108285714285714
2021-01-31,0.07092042142857143
2021-02-01,0.07075798571428572
2021-02-02,0.070595550000000007
2021-02-03,0.07058272857142858
2021-02-04,0.07056990714285714
2021-02-05,0.07055708571428572
2021-02-06,0.0705442642857143
2021-02-07,0.07053144285714287
2021-02-08,0.07051862142857143
2021-02-09,0.07050580000000001
2021-02-10,0.07127158571428573
2021-02-11,0.07203737142857143
2021-02-12,0.07280315714285715
2021-02-13,0.07356894285714285
2021-02-14,0.07433472857142857
2021-02-15,0.07510051428571428
2021-02-16,0.0758663
2021-02-17,0.07788314285714286
2021-02-18,0.0798999857142857
2021-02-19,0.08191682857142857
2021-02-20,0.08393367142857143
2021-02-21,0.08595051428571429
2021-02-22,0.08796735714285714
2021-02-23,0.0899842
2021-02-24,0.0933341
2021-02-25,0.09668399999999999
2021-02-26,0.1000339
2021-02-27,0.1033838
2021-02-28,0.10673369999999999
2021-03-01,0.11008359999999999
2021-03-02,0.11343349999999999
2021-03-03,0.119988
2021-03-04,0.1265425
2021-03-05,0.133097
2021-03-06,0.13965149999999998
2021-03-07,0.146206
2021-03-08,0.1527605
2021-03-09,0.15931499999999998
2021-03-10,0.16832992857142856
2021-03-11,0.17734485714285714
2021-03-12,0.1863597857142857
2021-03-13,0.19537471428571426
2021-03-14,0.20438964285714284
2021-03-15,0.21340457142857142
2021-03-16,0.2224195
2021-03-17,0.25777292857142853
2021-03-18,0.2931263571428571
2021-03-19,0.3284797857142857
2021-03-20,0.36383321428571425
2021-03-21,0.39918664285714284
2021-03-22,0.4345400714285714
2021-03-23,0.46989349999999996
2021-03-24,0.5256698571428571
2021-03-25,0.5814462142857142
2021-03-26,0.6372225714285714
2021-03-27,0.6929989285714285
